index,CODE_UNIT,zone,DistC,SubC,SubDist,Dist,Place,Unit,Housing,Voter,nResp,nAttend,pAttend
5742,5743,Zone04,1043,104301,คันนายาว,เขตคันนายาว,เต็นท์บริเวณหน้าหมู่บ้านเจริญทรัพย์,1,177,396,0,0,0
5743,5744,Zone04,1043,104301,คันนายาว,เขตคันนายาว,เต็นท์บริเวณหน้าสนามกีฬา (ไนติงเกล),2,193,463,0,0,0
5744,5745,Zone04,1043,104301,คันนายาว,เขตคันนายาว,เต็นท์บริเวณลานจอดรถร้านอาหาร PLAY,3,272,551,0,0,0
5745,5746,Zone04,1043,104301,คันนายาว,เขตคันนายาว,เต็นท์บริเวณลานจอดรถร้านอาหาร PLAY,4,203,527,0,0,0
5746,5747,Zone04,1043,104301,คันนายาว,เขตคันนายาว,วัดราษฎร์ศรัทธาธรรม (บางชัน),5,181,513,0,0,0
5747,5748,Zone04,1043,104301,คันนายาว,เขตคันนายาว,วัดราษฎร์ศรัทธาธรรม (บางชัน),6,131,446,0,0,0
5748,5749,Zone04,1043,104301,คันนายาว,เขตคันนายาว,เต็นท์บริเวณปั๊มน้ำมันเอสโซ่ (กม.12),7,347,774,2,590,76
5749,5750,Zone04,1043,104301,คันนายาว,เขตคันนายาว,เต็นท์บริเวณหน้าสวนคันนายาวรมณีย์,8,257,634,3,650,102
5750,5751,Zone04,1043,104301,คันนายาว,เขตคันนายาว,เต็นท์บริเวณหน้าสวนคันนายาวรมณีย์,9,236,599,3,686,114
5751,5752,Zone04,1043,104301,คันนายาว,เขตคันนายาว,เต็นท์บริเวณหน้าสวนคันนายาวรมณีย์,10,257,660,3,707,107
5752,5753,Zone04,1043,104301,คันนายาว,เขตคันนายาว,เต็นท์บริเวณอาคารอมรพันธ์แซทเทอไลท์คอนโดทาวน์ (R 4),11,306,714,3,767,107
5753,5754,Zone04,1043,104301,คันนายาว,เขตคันนายาว,เต็นท์บริเวณอาคารอมรพันธ์แซทเทอไลท์คอนโดทาวน์ (R 4),12,393,788,3,875,111
5754,5755,Zone04,1043,104301,คันนายาว,เขตคันนายาว,ศาลาบริเวณสนามเด็กเล่นหมู่บ้านเก้าแสนเจ็ด,13,208,483,3,547,113
5755,5756,Zone04,1043,104301,คันนายาว,เขตคันนายาว,ศาลาบริเวณสนามเด็กเล่นหมู่บ้านเก้าแสนเจ็ด,14,156,418,3,530,126
5756,5757,Zone04,1043,104301,คันนายาว,เขตคันนายาว,เต็นท์บริเวณลานจอดรถแกรนด์สยามอินน์,15,149,414,3,409,98
5757,5758,Zone04,1043,104301,คันนายาว,เขตคันนายาว,เต็นท์บริเวณลานจอดรถแกรนด์สยามอินน์,16,171,518,3,527,101
5758,5759,Zone04,1043,104301,คันนายาว,เขตคันนายาว,เต็นท์บริเวณลานกีฬาชุมชนอมรพันธ์นครสวนสยาม,17,220,597,3,706,118
5759,5760,Zone04,1043,104301,คันนายาว,เขตคันนายาว,เต็นท์บริเวณลานจอดรถธนาคารกรุงเทพ สาขาสวนสยาม,18,234,588,3,650,110
5760,5761,Zone04,1043,104301,คันนายาว,เขตคันนายาว,เต็นท์บริเวณลานจอดรถธนาคารไทยพาณิชย์ สาขาถนนเสรีไทย,19,250,592,0,0,0
5761,5762,Zone04,1043,104301,คันนายาว,เขตคันนายาว,เต็นท์บริเวณสนามเด็กเล่นหมู่บ้านเกษรา,20,479,748,0,0,0
5762,5763,Zone04,1043,104301,คันนายาว,เขตคันนายาว,เต็นท์บริเวณสนามเด็กเล่นหมู่บ้านเกษรา,21,191,495,0,0,0
5763,5764,Zone04,1043,104301,คันนายาว,เขตคันนายาว,เต็นท์บริเวณลานจอดรถทองประกายคอนโดเทล,22,129,485,0,0,0
5764,5765,Zone04,1043,104301,คันนายาว,เขตคันนายาว,เต็นท์บริเวณลานจอดรถทองประกายคอนโดเทล,23,191,488,0,0,0
5765,5766,Zone04,1043,104301,คันนายาว,เขตคันนายาว,โรงเรียนคันนายาว,24,260,838,3,876,104
5766,5767,Zone04,1043,104301,คันนายาว,เขตคันนายาว,เต็นท์บริเวณหน้าโชว์รูมรถยนต์โตโยต้า สาขาสุขาภิบาล 2,25,253,522,3,456,87
5767,5768,Zone04,1043,104301,คันนายาว,เขตคันนายาว,โรงเรียนสอนศาสนานูรุดดีน (สุเหร่าแดง),26,175,684,3,887,129
5768,5769,Zone04,1043,104301,คันนายาว,เขตคันนายาว,โรงเรียนสอนศาสนานูรุดดีน (สุเหร่าแดง),27,164,659,3,912,138
5769,5770,Zone04,1043,104301,คันนายาว,เขตคันนายาว,เต็นท์บริเวณหน้าหมู่บ้านเรือนทองนิเวศน์,28,307,772,3,857,111
